Podsumowanie:
54  Wojtek
44  Marcin_FBI
39  drab111
35  JakubPaczek
26  Marcin
3  FBI223
3  Wiktor
3  fidren



Logi z GitHub:

c1c54dc Marcin_FBI v30, fix bledu powiadomien, import export , menu exportu , zakladka exportu u gory  2024-05-28 16:26:49 +0200
94c3723 Marcin_FBI v29 dodana ikonka do gornego paska i obrazek w main menu  2024-05-28 11:26:17 +0200
9974cb1 Marcin_FBI v28 powiadomienia ktore po kliknieciu przchodza da apki , styl windows pop ups  2024-05-28 11:09:17 +0200
b06c91d Marcin_FBI v27 dzialajace powiadomienia bez opcji przechodzenia do aplikacji po kliknieciu  2024-05-28 10:53:59 +0200
91c5749 Marcin v26 powiadomienia dodane  2024-05-28 02:53:27 +0200
1f67e33 drab111 v25 nowa baza danych i powiadomienia  2024-05-28 01:22:26 +0200
db465ad drab111 v24  2024-05-27 23:49:42 +0200
cec8fca Marcin_FBI v24 , synchronizacja przydzielania punktow z zegareMMmmmmmmmmm  2024-05-27 23:23:53 +0200
7450cca Marcin_FBI v23 , dzialajacy zegar  2024-05-27 22:36:45 +0200
793c087 Marcin_FBI v22 , cytaty w main menu z bazy , fix set back ground color  2024-05-27 16:50:51 +0200
8af08ba drab111 v21 Check answer, Reset button  2024-05-27 15:50:59 +0200
7de5d59 drab111 Aktualizacja TODO  2024-05-27 00:21:19 +0200
937e268 drab111 v20 działa Profile, statystyki, tryb grywalizacji  2024-05-27 00:20:30 +0200
9bcf9cf drab111 v19  2024-05-26 22:39:30 +0200
743f738 Marcin_FBI v18, zrobione CALE menu do drag and drop , dopracowane tylko show answer zrob  2024-05-26 17:55:42 +0200
e967ace drab111 v17  2024-05-26 15:18:26 +0200
56dde0b Marcin_FBI v16 , zmiana koloru tla , przygotowanie do robienia ostatniego frame, male fixy  2024-05-26 12:18:59 +0200
cdd748c drab111 Delete todo.txt  2024-05-26 01:58:25 +0200
11155a2 drab111 Delete opis.txt  2024-05-26 01:58:09 +0200
8c1f080 drab111 Wymagania funkcjonalne (TODO)  2024-05-26 01:56:45 +0200
b9fa9d7 drab111 v15  2024-05-26 01:48:57 +0200
176525c drab111 v14  2024-05-25 16:49:56 +0200
ba8dfe7 Marcin v13 restrukturyzacja kodu  2024-05-25 15:25:19 +0200
b350471 Marcin_FBI v12.1 , male fixy zerowania wyborow uzytkownika  2024-05-22 23:55:38 +0200
8d8a212 Marcin_FBI v12 , autouzupelnianie pola entry oraz zerowanie zawartosci pola jak juz przeprowadzimy operacje ( delete / update czy goback ( menu ))  2024-05-22 22:15:17 +0200
18a1935 Marcin_FBI v11 , dobrze dziala zmiana czcionki , zmienia wszedzie i zachowuje rozmiar oraz  pare nowych guzikow  2024-05-22 18:46:43 +0200
b1d5f5f fidren v10  2024-05-21 21:16:14 +0200
df70cc1 Marcin_FBI v9 , modyfikacje czcionek / baza danych  2024-05-21 18:46:00 +0200
6fa0710 Marcin_FBI v8 , czcionki dodane / modyfikacje czcionek  2024-05-21 18:35:29 +0200
55e59e6 drab111 v7 Edit Set i Edit Flashcards skończone  2024-05-21 17:15:23 +0200
474cf4e drab111 v6  2024-05-21 01:23:30 +0200
28b1002 drab111 v5  2024-05-20 23:09:22 +0200
4fc3e8a Marcin_FBI v4, fixing gui , positions , and added few buttons and labels , LETS GO!  2024-05-20 19:29:32 +0200
e453fec Marcin_FBI v3, small fixes  2024-05-20 00:31:30 +0200
1b28bae Marcin_FBI v2  2024-05-19 16:53:10 +0200
a54a060 Marcin_FBI v1  2024-05-19 14:58:43 +0200
03df825 Marcin_FBI v1  2024-05-19 14:58:12 +0200
4c2688f Marcin_FBI ulepszenie glwonego menu  2024-05-19 14:57:43 +0200
6e20c2e Marcin przykladowy| interfejs / uproszczony interfejs  2024-05-19 12:25:31 +0200
82fbb1c fidren Initial commit  (final) 2024-05-11 13:59:43 +0200
